url,slug,title,category,author_handle,date_text,date_iso
https://www.techi.com/gpt-6-astra-openai-computer-use/,gpt-6-astra-openai-computer-use,GPT-6 Astra Reaches Human-Level Computer Use — and OpenAI Locks the Cyber Door Behind It,"AI & Intelligence Models, agents, chips, labs, and the AI economy.",Saba Javed,2026-09-03T23:49:28.857Z,2026-09-03T23:49:28Z
https://www.techi.com/deepmind-coding-research-california-london-cluster/,deepmind-coding-research-california-london-cluster,Google DeepMind's shift to California tests the case for London's AI cluster,AI & Intelligence,Zoha Imdad Ali,2026-08-19T23:24:43.152Z,2026-08-19T23:24:43Z
https://www.techi.com/amd-chip-selloff-input-costs-pricing-power/,amd-chip-selloff-input-costs-pricing-power,"The chip selloff is picking sides, and AMD is on the wrong one","AI & Intelligence Models, agents, chips, labs, and the AI economy.",Umair Aslam,2026-08-19T20:41:39.259Z,2026-08-19T20:41:39Z
https://www.techi.com/tesla-cybercab-hardware-gap-fsd-owners/,tesla-cybercab-hardware-gap-fsd-owners,Tesla's robotaxi finally works. Just not on the cars it sold you,"AI & Intelligence Models, agents, chips, labs, and the AI economy.",Omer Sheikh,2026-08-19T20:22:24.233Z,2026-08-19T20:22:24Z
https://www.techi.com/meta-29-state-trial-advisory-jury-remedy-risk/,meta-29-state-trial-advisory-jury-remedy-risk,The Meta trial's real risk isn't the $1.4 trillion. It's the judge,"AI & Intelligence Models, agents, chips, labs, and the AI economy.",Saba Javed,2026-08-19T20:04:04.214Z,2026-08-19T20:04:04Z
https://www.techi.com/nvidia-h200-china-shipments-below-licence-ceiling/,nvidia-h200-china-shipments-below-licence-ceiling,"Nvidia's H200s are flowing to China again, at 13% of the legal limit","AI & Intelligence Models, agents, chips, labs, and the AI economy.",Dr Layloma Rashid,2026-08-19T19:07:41.212Z,2026-08-19T19:07:41Z
https://www.techi.com/samsung-foundry-price-hike-losing-share/,samsung-foundry-price-hike-losing-share,Samsung lost a third of its foundry share. It raised prices anyway,"AI & Intelligence Models, agents, chips, labs, and the AI economy.",Fatimah Misbah Hussain,2026-08-19T18:14:26.171Z,2026-08-19T18:14:26Z
https://www.techi.com/ether-price-first-half-2026/,ether-price-first-half-2026,Reading the Ether Price After a Brutal First Half of 2026,Markets & Equities,Qaiser Sultan,2026-08-19T17:03:28.994Z,2026-08-19T17:03:28Z
https://www.techi.com/anthropic-model-2-risk-report-misalignment-estimate/,anthropic-model-2-risk-report-misalignment-estimate,Anthropic’s Model 2 Is Stronger. That Isn’t Why the Risk Label Changed,"AI & Intelligence Models, agents, chips, labs, and the AI economy.",Qaiser Sultan,2026-08-14T22:43:01.312Z,2026-08-14T22:43:01Z
https://www.techi.com/intel-15-billion-stock-offering/,intel-15-billion-stock-offering,Intel Just Asked Investors for $15 Billion. The Timing Is the Whole Story,"AI & Intelligence Models, agents, chips, labs, and the AI economy.",Omer Sheikh,2026-08-10T18:17:58.730Z,2026-08-10T18:17:58Z
https://www.techi.com/ai-chip-materials-synthesis-bottleneck/,ai-chip-materials-synthesis-bottleneck,AI agents logged 526 chip-material candidates. One recipe passed the screen,"AI & Intelligence Models, agents, chips, labs, and the AI economy.",Fatimah Misbah Hussain,2026-08-10T15:41:57.682Z,2026-08-10T15:41:57Z
https://www.techi.com/kings-cross-ai-talent-cluster-bottleneck/,kings-cross-ai-talent-cluster-bottleneck,King’s Cross reveals AI’s next bottleneck: talent density,"AI & Intelligence Models, agents, chips, labs, and the AI economy.",Zoha Imdad Ali,2026-08-10T08:30:31.242Z,2026-08-10T08:30:31Z
https://www.techi.com/supernatural-vr-fitness-reboot-3000-workouts/,supernatural-vr-fitness-reboot-3000-workouts,"Supernatural’s VR fitness reboot aims to restore 3,000 workouts","AI & Intelligence Models, agents, chips, labs, and the AI economy.",Saba Javed,2026-08-09T19:18:17.030Z,2026-08-09T19:18:17Z
https://www.techi.com/us-sanctions-shelbit-aban-tether-iran-crypto/,us-sanctions-shelbit-aban-tether-iran-crypto,US sanctions two crypto exchanges over Iran-linked money flows,"AI & Intelligence Models, agents, chips, labs, and the AI economy.",Fatimah Misbah Hussain,2026-08-09T18:17:28.274Z,2026-08-09T18:17:28Z
https://www.techi.com/ai-camouflage-surveillance-camera-test-proof/,ai-camouflage-surveillance-camera-test-proof,AI camouflage reportedly passed one camera test. Proof is still thin,"AI & Intelligence Models, agents, chips, labs, and the AI economy.",Zoha Imdad Ali,2026-08-09T17:11:43.535Z,2026-08-09T17:11:43Z
https://www.techi.com/claude-code-auto-mode-default-11-percent-miss-rate/,claude-code-auto-mode-default-11-percent-miss-rate,Claude Code will default to auto mode despite an 11% test miss rate,"AI & Intelligence Models, agents, chips, labs, and the AI economy.",Saba Javed,2026-08-09T15:54:35.288Z,2026-08-09T15:54:35Z
https://www.techi.com/x-original-content-rewards-premium-impressions/,x-original-content-rewards-premium-impressions,X will pay for original posts. Only Premium views count,"AI & Intelligence Models, agents, chips, labs, and the AI economy.",Fatimah Misbah Hussain,2026-08-09T08:47:50.000Z,2026-08-09T08:47:50Z
https://www.techi.com/openai-astra-critical-cyber-capability-proof/,openai-astra-critical-cyber-capability-proof,OpenAI's Astra may be 'Critical.' The proof is still private,"AI & Intelligence Models, agents, chips, labs, and the AI economy.",Zoha Imdad Ali,2026-08-09T07:47:32.525Z,2026-08-09T07:47:32Z
https://www.techi.com/firebird-armenia-ai-factory-300mw-roadmap/,firebird-armenia-ai-factory-300mw-roadmap,Firebird's Armenia AI factory is live. The 300 MW promise is not,"AI & Intelligence Models, agents, chips, labs, and the AI economy.",Saba Javed,2026-08-09T06:27:53.180Z,2026-08-09T06:27:53Z
https://www.techi.com/meta-ai-email-calendar-agent-permissions/,meta-ai-email-calendar-agent-permissions,What Meta AI’s Email and Calendar Agent Actually Changes,"AI & Intelligence Models, agents, chips, labs, and the AI economy.",Zoha Imdad Ali,2026-07-27T06:00:41.272Z,2026-07-27T06:00:41Z
